,open_date,subject,neighborhood,Days_Open
21557,2022-06-17 09:50:00,Dept of Public Works,Hamlin Park,261
21565,2022-01-28 13:56:00,Dept of Public Works,Broadway Fillmore,401
21633,2022-09-15 15:51:00,DPIS,West Hertel,171
21665,2022-03-25 12:50:00,Dept of Public Works,Pratt-Willert,345
21666,2022-10-12 12:46:00,Dept of Law,UNKNOWN,144
21710,2022-07-26 12:48:00,Dept of Public Works,South Park,222
21746,2022-08-18 10:42:00,Dept of Law,UNKNOWN,199
21838,2022-08-22 12:27:00,Dept of Public Works,Upper West Side,195
21864,2022-05-18 14:36:00,Dept of Public Works,West Hertel,291
21865,2022-04-19 15:28:00,Dept of Public Works,Lovejoy,320
21952,2022-04-25 16:35:00,Dept of Law,UNKNOWN,314
21970,2022-12-21 13:12:00,Dept of Law,UNKNOWN,74
22002,2022-07-06 15:44:00,Dept of Public Works,Grant-Amherst,242
22004,2022-06-14 18:35:00,Dept of Law,UNKNOWN,264
22016,2022-10-23 19:00:00,Utilities,University Heights,133
22031,2022-10-05 20:06:00,Dept of Law,UNKNOWN,151
22112,2022-09-08 14:43:00,Dept of Law,UNKNOWN,178
22124,2022-06-17 15:07:00,Dept of Public Works,Broadway Fillmore,261
22138,2022-08-15 11:25:00,Dept of Law,UNKNOWN,202
22166,2022-06-17 09:34:00,Dept of Law,UNKNOWN,261
22222,2022-04-20 11:16:00,Dept of Public Works,Central,319
22226,2022-05-10 11:30:00,Dept of Law,UNKNOWN,299
22316,2022-03-25 14:10:00,Dept of Public Works,Masten Park,345
22320,2022-06-10 15:56:00,Dept of Public Works,Hopkins-Tifft,268
22465,2022-06-27 14:53:00,Dept of Law,UNKNOWN,251
22470,2022-05-16 16:27:00,Dept of Public Works,University Heights,293
22558,2022-07-21 23:38:00,Dept of Public Works,West Side,226
22712,2022-06-10 09:58:00,Dept of Public Works,Delavan Grider,268
22763,2022-10-24 09:19:00,Dept of Law,UNKNOWN,132
22780,2022-05-13 15:11:00,Dept of Public Works,Allentown,296
22846,2022-11-15 16:55:00,Dept of Law,UNKNOWN,110
22850,2022-03-25 08:43:00,Dept of Public Works,Central,345
22858,2022-08-25 13:37:00,DPIS,Genesee-Moselle,192
22862,2022-08-10 12:48:00,Dept of Law,UNKNOWN,207
22965,2022-06-13 11:04:00,Dept of Public Works,West Side,265
22969,2022-04-06 13:30:00,Dept of Public Works,Hopkins-Tifft,333
23003,2022-04-20 08:38:00,Dept of Law,UNKNOWN,319
23199,2022-04-25 13:59:00,Dept of Public Works,Schiller Park,314
23200,2022-10-17 11:22:00,DPIS,Kensington-Bailey,139
23226,2022-09-21 07:18:00,Dept of Public Works,Broadway Fillmore,165
23259,2022-09-22 13:52:00,Dept of Public Works,Lovejoy,164
23303,2022-07-07 11:14:00,Dept of Public Works,University Heights,241
23326,2022-08-09 10:08:00,Dept of Law,UNKNOWN,208
23347,2022-03-25 11:04:00,Dept of Law,UNKNOWN,345
23358,2022-04-26 12:08:00,Dept of Public Works,Central Park,313
23424,2022-09-23 12:50:00,DPIS,Riverside,163
23532,2022-03-29 22:45:00,DPIS,Kensington-Bailey,340
23582,2022-07-12 09:48:00,Dept of Public Works,Fruit Belt,236
23610,2022-04-27 10:42:00,Dept of Public Works,University Heights,312
23642,2022-08-05 11:41:00,Dept of Public Works,Hopkins-Tifft,212
23659,2022-05-18 10:41:00,Dept of Law,UNKNOWN,291
23740,2022-06-28 23:25:00,Dept of Public Works,University Heights,249
23766,2022-05-12 11:55:00,Dept of Public Works,Kensington-Bailey,297
23846,2022-03-25 08:59:00,Dept of Public Works,Elmwood Bryant,345
23897,2022-04-29 16:17:00,Dept of Public Works,North Park,310
23899,2022-11-01 09:50:00,Dept of Public Works,Hopkins-Tifft,124
23939,2022-07-02 10:00:00,Buffalo Police Department,Parkside,246
24015,2022-06-17 15:09:00,Dept of Public Works,Broadway Fillmore,261
24038,2022-03-31 11:03:00,Dept of Public Works,University Heights,339
24041,2022-10-14 13:50:00,Dept of Public Works,Genesee-Moselle,142
24101,2022-05-26 12:39:00,Dept of Law,UNKNOWN,283
24129,2022-04-22 09:54:00,Dept of Public Works,South Park,317
24150,2022-05-18 12:00:00,Dept of Law,UNKNOWN,291
24234,2022-07-13 15:15:00,Dept of Public Works,Elmwood Bidwell,235
24261,2022-05-18 16:52:00,Dept of Law,UNKNOWN,291
24322,2022-06-06 11:53:00,DPIS,Hopkins-Tifft,272
24345,2022-08-15 15:47:00,Office of the Mayor,Central,202
24397,2022-10-12 14:56:00,Dept of Law,UNKNOWN,144
24526,2022-06-01 12:23:00,Dept of Public Works,Riverside,277
24620,2022-07-15 09:32:00,Dept of Public Works,Kensington-Bailey,233
24770,2022-05-20 12:35:00,Dept of Public Works,Seneca Babcock,289
24779,2022-08-25 15:45:00,Dept of Public Works,Hopkins-Tifft,192
24783,2022-07-30 15:42:00,Buffalo Police Department,Hopkins-Tifft,218
24812,2022-06-17 15:21:00,Dept of Public Works,Broadway Fillmore,261
24821,2022-10-24 14:13:00,Dept of Public Works,Fillmore-Leroy,132
24831,2022-11-28 20:58:00,Dept of Public Works,Fillmore-Leroy,97
24836,2022-05-23 14:02:00,Dept of Law,UNKNOWN,286
24966,2022-06-21 14:00:00,Dept of Public Works,Broadway Fillmore,257
24970,2022-11-03 16:03:00,Dept of Public Works,University Heights,122
24977,2022-04-21 15:13:00,Dept of Public Works,South Park,318
25078,2022-06-17 21:34:00,Dept of Public Works,Hopkins-Tifft,261
25081,2022-04-22 10:22:00,Dept of Public Works,Hopkins-Tifft,317
25111,2022-06-06 16:39:00,Dept of Law,UNKNOWN,272
25127,2022-03-23 12:16:00,Dept of Public Works,Riverside,347
25135,2022-05-20 10:48:00,Dept of Public Works,Riverside,289
25172,2022-06-17 15:20:00,Dept of Public Works,Broadway Fillmore,261
25196,2022-09-21 13:47:00,Dept of Public Works,Parkside,165
25244,2022-09-30 17:18:00,Dept of Law,UNKNOWN,156
25264,2022-04-19 16:01:00,Dept of Public Works,Lovejoy,320
25498,2022-10-14 00:01:00,Dept of Public Works,North Park,142
25549,2022-03-28 13:29:00,Dept of Public Works,University Heights,342
25570,2022-08-16 22:15:00,DPIS,Broadway Fillmore,201
25743,2022-05-26 14:59:00,Dept of Public Works,Hopkins-Tifft,283
25757,2022-05-20 09:46:00,Dept of Public Works,Kensington-Bailey,289
25766,2022-05-18 13:22:00,Dept of Public Works,Fillmore-Leroy,291
25788,2022-06-17 15:17:00,Dept of Public Works,Masten Park,261
25793,2022-07-15 10:27:00,Dept of Public Works,Lovejoy,233
25849,2022-03-25 12:29:00,Dept of Public Works,Parkside,345
25852,2022-04-22 16:54:00,Dept of Law,UNKNOWN,317
25865,2022-04-20 08:50:00,Dept of Public Works,Central,319
25881,2022-07-13 15:17:00,Dept of Public Works,Genesee-Moselle,235
25919,2022-06-07 08:51:00,Dept of Public Works,Genesee-Moselle,271
25981,2022-05-17 10:21:00,Dept of Public Works,Fillmore-Leroy,292
26060,2022-06-06 08:46:00,Dept of Public Works,Hopkins-Tifft,272
26086,2022-07-12 09:10:00,Dept of Public Works,Elmwood Bryant,236
26345,2022-08-09 13:48:00,Dept of Public Works,University Heights,208
26360,2022-03-25 10:49:00,Dept of Public Works,Pratt-Willert,345
26455,2022-07-05 14:14:00,DPIS,North Park,243
26464,2022-06-17 15:30:00,Dept of Public Works,South Park,261
26481,2022-11-07 12:06:00,DPIS,Genesee-Moselle,118
26510,2022-06-14 09:34:00,Dept of Law,UNKNOWN,264
26582,2022-03-25 12:41:00,Dept of Public Works,Parkside,345
26606,2022-03-30 13:18:00,Dept of Law,UNKNOWN,340
26609,2022-08-22 15:20:00,Dept of Public Works,Riverside,195
26713,2022-05-18 12:02:00,Dept of Public Works,Upper West Side,291
26726,2022-04-20 12:14:00,Dept of Public Works,University Heights,319
26735,2022-11-10 11:22:00,Dept of Public Works,MLK Park,115
26765,2022-04-22 08:21:00,Dept of Public Works,Elmwood Bidwell,317
26985,2022-03-28 14:22:00,Dept of Public Works,South Park,342
27003,2022-07-06 08:30:00,Dept of Public Works,Hopkins-Tifft,242
27010,2022-03-24 13:40:00,Dept of Public Works,Riverside,346
27041,2022-08-26 14:33:00,Dept of Public Works,Hopkins-Tifft,191
27198,2022-10-19 11:19:00,Dept of Public Works,Lovejoy,137
27353,2022-04-04 16:21:00,Dept of Public Works,Lower West Side,335
27532,2022-10-26 11:53:00,Dept of Public Works,Lovejoy,130
27564,2022-12-23 16:06:00,Office of the Mayor,Lovejoy,72
27658,2022-07-05 08:56:00,Office of the Mayor,Broadway Fillmore,243
27671,2022-03-31 12:36:00,Dept of Public Works,Fruit Belt,339
27728,2022-07-11 12:48:00,Dept of Law,UNKNOWN,237
27791,2022-10-26 14:09:00,DPIS,Schiller Park,130
27807,2022-11-03 15:52:00,DPIS,Upper West Side,122
27869,2022-11-14 13:18:00,Dept of Public Works,MLK Park,111
27870,2022-06-24 14:05:00,Dept of Public Works,Kaisertown,254
27902,2022-08-08 13:01:00,Dept of Public Works,Kaisertown,209
27952,2022-09-23 11:03:00,Dept of Public Works,Hamlin Park,163
27964,2022-06-21 12:11:00,Dept of Law,UNKNOWN,257
28058,2022-03-31 15:00:00,Dept of Law,UNKNOWN,339
28110,2022-07-10 22:34:00,DPIS,Elmwood Bidwell,237
28203,2022-07-07 17:07:00,Dept of Law,UNKNOWN,241
28260,2022-05-25 10:22:00,Dept of Public Works,First Ward,284
28300,2022-07-08 13:57:00,Dept of Public Works,Delavan Grider,240
28459,2022-04-11 14:38:00,Dept of Public Works,Delavan Grider,328
28492,2022-05-13 12:48:00,Dept of Public Works,Hopkins-Tifft,296
28555,2022-06-28 23:28:00,Dept of Public Works,Hopkins-Tifft,249
28560,2022-07-25 09:12:00,Dept of Public Works,Parkside,223
28664,2022-07-19 21:28:00,Dept of Law,UNKNOWN,229
28690,2022-09-16 09:41:00,Dept of Public Works,West Side,170
28717,2022-07-25 08:52:00,Dept of Public Works,University Heights,223
28728,2022-10-18 16:14:00,Dept of Public Works,Grant-Amherst,138
28776,2022-07-22 11:12:00,Dept of Public Works,West Hertel,226
28793,2022-04-25 15:10:00,Dept of Public Works,Elmwood Bidwell,314
28821,2022-11-30 12:31:00,Dept of Public Works,University Heights,95
28823,2022-03-30 10:10:00,Dept of Public Works,University Heights,340
28893,2022-06-30 16:53:00,Dept of Public Works,Genesee-Moselle,248
28931,2022-08-22 18:37:00,Dept of Law,UNKNOWN,195
29003,2022-04-27 11:50:00,Dept of Parking,MLK Park,312
29038,2022-06-30 12:35:00,Dept of Public Works,Elmwood Bryant,248
29215,2022-04-28 11:45:00,Dept of Public Works,West Side,311
29326,2022-09-22 15:39:00,Dept of Public Works,University Heights,164
29330,2022-07-07 14:07:00,Dept of Law,UNKNOWN,241
29405,2022-12-22 14:14:00,DPIS,Delavan Grider,73
29410,2022-08-16 19:27:00,Dept of Law,UNKNOWN,201
29417,2022-06-08 12:52:00,Dept of Public Works,University Heights,270
29432,2022-05-18 09:13:00,Dept of Law,UNKNOWN,291
29491,2022-08-22 08:51:00,Dept of Public Works,South Park,195
29524,2022-04-26 10:09:00,Dept of Public Works,Schiller Park,313
29552,2022-05-19 12:37:00,Dept of Public Works,West Hertel,290
29568,2022-04-29 09:13:00,Dept of Public Works,Fruit Belt,310
29599,2022-05-03 14:09:00,Dept of Public Works,Black Rock,306
29613,2022-05-05 09:30:00,Dept of Public Works,North Park,304
29636,2022-08-15 09:53:00,Dept of Law,UNKNOWN,202
29754,2022-07-09 13:09:00,Dept of Public Works,Hopkins-Tifft,239
29763,2022-07-06 11:03:00,Utilities,West Side,242
29774,2022-05-26 09:28:00,Dept of Law,UNKNOWN,283
29778,2022-03-31 09:14:00,Dept of Public Works,Seneca-Cazenovia,339
29789,2022-03-28 12:08:00,Dept of Public Works,Elmwood Bryant,342
29823,2022-11-02 11:39:00,Dept of Public Works,Broadway Fillmore,123
29872,2022-10-31 12:44:00,Dept of Public Works,Masten Park,125
29896,2022-08-23 14:10:00,Dept of Law,UNKNOWN,194
29971,2022-10-21 10:30:00,Dept of Public Works,Lower West Side,135
30034,2022-04-28 11:30:00,Dept of Law,UNKNOWN,311
30054,2022-10-17 09:49:00,DPIS,Schiller Park,139
30091,2022-11-04 08:55:00,Dept of Public Works,Lovejoy,121
30104,2022-03-31 01:30:00,Dept of Public Works,Fillmore-Leroy,339
30105,2022-11-16 19:15:00,DPIS,Broadway Fillmore,109
30177,2022-04-05 10:17:00,Dept of Public Works,Lower West Side,334
30206,2022-07-06 13:17:00,Dept of Public Works,First Ward,242
30276,2022-05-23 18:54:00,Dept of Law,UNKNOWN,286
30284,2022-11-30 08:35:00,Dept of Public Works,Parkside,95
30325,2022-04-19 12:58:00,Dept of Public Works,Fillmore-Leroy,320
30418,2022-11-15 14:53:00,Dept of Law,UNKNOWN,110
30487,2022-07-26 09:00:00,Dept of Public Works,Upper West Side,222
30569,2022-12-12 13:21:00,Dept of Public Works,Elmwood Bidwell,83
30611,2022-07-22 15:11:00,Office of Strategic Planning,Kensington-Bailey,226
30661,2022-07-08 11:38:00,Dept of Public Works,Delavan Grider,240
30770,2022-04-08 15:11:00,Dept of Public Works,South Park,331
30796,2022-04-09 12:20:00,Dept of Public Works,Hopkins-Tifft,330
30832,2022-10-18 10:14:00,Dept of Parking,Central,138
30920,2022-10-21 16:10:00,Dept of Law,UNKNOWN,135
30935,2022-07-18 09:30:00,Dept of Public Works,UNKNOWN,230
30966,2022-05-17 14:47:00,Dept of Law,UNKNOWN,292
31032,2022-03-28 13:29:00,Dept of Public Works,Elmwood Bidwell,342
31051,2022-11-23 10:49:00,Dept of Public Works,Broadway Fillmore,102
31121,2022-11-16 11:28:00,Dept of Public Works,Black Rock,109
31231,2022-08-15 22:36:00,Dept of Public Works,Hopkins-Tifft,201
31242,2022-04-01 16:16:00,Dept of Public Works,Lower West Side,338
31245,2022-06-15 12:50:00,Dept of Public Works,Parkside,263
31360,2022-05-02 14:54:00,Dept of Public Works,Central,307
31370,2022-06-15 09:31:00,Dept of Public Works,Central,263
31371,2022-08-18 10:55:00,Dept of Public Works,Pratt-Willert,199
31463,2022-07-26 08:35:00,Dept of Public Works,University Heights,222
31467,2022-07-11 13:00:00,Dept of Parking,Elmwood Bryant,237
31488,2022-11-16 14:59:00,Dept of Public Works,Hopkins-Tifft,109
31496,2022-08-02 12:03:00,Dept of Public Works,Hopkins-Tifft,215
31542,2022-08-15 14:11:00,Dept of Law,UNKNOWN,202
31580,2022-05-06 09:45:00,Dept of Public Works,Genesee-Moselle,303
31598,2022-04-01 09:31:00,Dept of Public Works,Black Rock,338
31602,2022-04-03 16:51:00,Dept of Public Works,Kensington-Bailey,336
31659,2022-09-23 11:10:00,Dept of Public Works,Upper West Side,163
31693,2022-08-09 10:07:00,Dept of Law,UNKNOWN,208
31726,2022-08-18 13:53:00,Dept of Public Works,Lower West Side,199
31727,2022-04-06 08:45:00,Dept of Public Works,Pratt-Willert,333
31763,2022-03-28 13:21:00,DPIS,Genesee-Moselle,342
31799,2022-03-29 23:01:00,Dept of Law,UNKNOWN,340
31803,2022-08-23 11:39:00,Dept of Law,UNKNOWN,194
31829,2022-10-19 11:28:00,DPIS,Schiller Park,137
31843,2022-10-17 14:53:00,Dept of Law,UNKNOWN,139
31923,2022-08-09 10:23:00,Dept of Law,UNKNOWN,208
31929,2022-06-29 16:01:00,Dept of Public Works,Allentown,249
32040,2022-08-18 11:20:00,Dept of Public Works,Elmwood Bryant,199
32042,2022-04-01 23:38:00,Dept of Public Works,Hopkins-Tifft,337
32065,2022-06-13 13:41:00,Dept of Public Works,MLK Park,265
32087,2022-05-25 10:55:00,Dept of Law,UNKNOWN,284
32118,2022-01-08 15:02:00,Dept of Public Works,Central,421
32324,2022-07-20 15:32:00,Dept of Public Works,Schiller Park,228
32398,2022-06-09 09:14:00,Dept of Public Works,Allentown,269
32401,2022-08-18 09:15:00,Dept of Public Works,Elmwood Bidwell,199
32425,2022-07-05 16:22:00,Dept of Law,UNKNOWN,243
32439,2022-10-19 15:30:00,Dept of Public Works,Kensington-Bailey,137
32450,2022-04-06 08:01:00,Dept of Public Works,Genesee-Moselle,333
32473,2022-06-17 10:11:00,Dept of Law,UNKNOWN,261
32548,2022-11-16 12:36:00,Dept of Public Works,Hopkins-Tifft,109
32554,2022-08-04 12:26:00,Dept of Public Works,Hopkins-Tifft,213
32557,2022-12-23 08:42:00,Dept of Public Works,Kensington-Bailey,72
32677,2022-08-05 16:30:00,Dept of Public Works,Central Park,212
32678,2022-07-21 11:26:00,Dept of Public Works,Kaisertown,227
32711,2022-06-08 13:09:00,Dept of Public Works,UNKNOWN,270
32750,2022-05-20 12:16:00,Dept of Law,UNKNOWN,289
32756,2022-05-13 09:43:00,Dept of Public Works,Hopkins-Tifft,296
32872,2022-05-02 14:52:00,DPIS,Elmwood Bidwell,307
32898,2022-05-15 09:37:00,Dept of Law,UNKNOWN,294
32925,2022-06-15 13:06:00,Dept of Public Works,Central Park,263
33067,2022-03-29 11:03:00,Dept of Law,UNKNOWN,341
33076,2022-10-13 12:15:00,Dept of Public Works,Seneca Babcock,143
33142,2022-04-29 11:14:00,Dept of Public Works,Ellicott,310
33149,2022-06-21 15:56:00,Dept of Law,UNKNOWN,257
33164,2022-10-26 15:23:00,Dept of Public Works,Central,130
33216,2022-04-11 09:46:00,Dept of Public Works,Broadway Fillmore,328
33290,2022-04-01 15:27:00,Dept of Public Works,Masten Park,338
33291,2022-07-18 12:24:00,Dept of Public Works,University Heights,230
33424,2022-05-23 09:53:00,Dept of Law,UNKNOWN,286
33428,2022-10-12 11:57:00,Dept of Law,UNKNOWN,144
33432,2022-07-06 13:39:00,Dept of Public Works,Central Park,242
33440,2022-07-04 16:43:00,Dept of Public Works,Elmwood Bidwell,244
33587,2022-07-05 11:37:00,Dept of Public Works,MLK Park,243
33664,2022-07-10 01:00:00,Dept of Parking,Delavan Grider,238
33701,2022-06-21 11:41:00,Dept of Public Works,Lovejoy,257
33740,2022-06-22 15:17:00,Dept of Parking,Broadway Fillmore,256
33780,2022-06-23 12:15:00,Dept of Public Works,Delavan Grider,255
33793,2022-04-27 10:36:00,Dept of Law,UNKNOWN,312
33808,2022-06-10 13:20:00,Dept of Public Works,Schiller Park,268
33904,2022-11-23 15:35:00,Office of Strategic Planning,North Park,102
33953,2022-10-17 15:25:00,DPIS,Riverside,139
34010,2022-11-15 10:27:00,Dept of Public Works,Hopkins-Tifft,110
34036,2022-10-31 11:11:00,Dept of Law,UNKNOWN,125
34099,2022-04-01 09:11:00,Dept of Public Works,University Heights,338
34125,2022-07-13 15:28:00,Dept of Law,UNKNOWN,235
34164,2022-07-28 08:36:00,Dept of Public Works,Kensington-Bailey,220
34173,2022-04-01 13:39:00,Dept of Public Works,Elmwood Bryant,338
34324,2022-09-23 11:04:00,Dept of Public Works,Hamlin Park,163
34426,2022-04-25 12:47:00,Dept of Public Works,North Park,314
34488,2022-07-07 14:52:00,Dept of Public Works,University Heights,241
34514,2022-07-08 14:16:00,Dept of Public Works,Parkside,240
34537,2022-05-18 10:24:00,Dept of Public Works,Parkside,291
34810,2022-05-23 12:46:00,Dept of Public Works,Genesee-Moselle,286
34857,2022-08-17 09:07:00,Dept of Public Works,Black Rock,200
34865,2022-05-26 10:44:00,Dept of Public Works,Lovejoy,283
34907,2022-04-25 15:12:00,Dept of Public Works,Elmwood Bidwell,314
34935,2022-04-27 09:32:00,Dept of Public Works,Broadway Fillmore,312
34943,2022-04-28 13:52:00,Dept of Law,UNKNOWN,311
35004,2022-06-24 12:58:00,Dept of Public Works,West Side,254
35010,2022-07-09 13:07:00,Dept of Public Works,Hopkins-Tifft,239
35050,2022-07-05 15:41:00,Dept of Public Works,Lower West Side,243
35083,2022-03-31 10:43:00,Dept of Public Works,University Heights,339
35100,2022-05-02 08:53:00,Dept of Public Works,Parkside,307
35141,2022-07-05 08:53:00,Dept of Public Works,Upper West Side,243
35377,2022-04-25 13:34:00,Dept of Public Works,Upper West Side,314
35445,2022-06-09 14:07:00,Dept of Public Works,Genesee-Moselle,269
35453,2022-10-18 14:16:00,Dept of Public Works,Seneca-Cazenovia,138
35532,2022-07-11 14:16:00,Dept of Public Works,Hopkins-Tifft,237
35537,2022-08-22 10:00:00,Dept of Law,UNKNOWN,195
35569,2022-05-09 10:45:00,Dept of Public Works,University Heights,300
35580,2022-04-01 13:51:00,Dept of Public Works,Riverside,338
35614,2022-07-12 15:09:00,Dept of Public Works,UNKNOWN,236
35634,2022-08-18 20:56:00,Dept of Law,UNKNOWN,199
35655,2022-05-09 14:05:00,Dept of Public Works,Delavan Grider,300
35685,2022-09-22 12:24:00,Dept of Law,UNKNOWN,164
35702,2022-03-30 06:45:00,Dept of Public Works,Upper West Side,340
35714,2022-07-19 08:51:00,Dept of Public Works,Hopkins-Tifft,229
35739,2022-10-12 08:37:00,Dept of Public Works,Elmwood Bidwell,144
35757,2022-08-19 10:20:00,Dept of Public Works,Upper West Side,198
35781,2022-07-09 16:00:00,Dept of Parking,Kenfield,239
35853,2022-04-07 12:04:00,Dept of Law,UNKNOWN,332
35941,2022-09-23 12:41:00,DPIS,Fruit Belt,163
35972,2022-10-17 16:27:00,Dept of Public Works,South Park,139
36005,2022-03-31 02:29:00,Dept of Public Works,University Heights,339
36047,2022-04-25 10:30:00,Dept of Public Works,Masten Park,314
36191,2022-06-12 16:23:00,Dept of Public Works,Black Rock,266
36195,2022-10-19 10:40:00,Dept of Law,UNKNOWN,137
36317,2022-05-24 11:31:00,Office of the Mayor,Masten Park,285
36351,2022-07-21 13:23:00,Dept of Public Works,MLK Park,227
36437,2022-04-04 15:42:00,Dept of Public Works,Hopkins-Tifft,335
36470,2022-07-06 15:47:00,Dept of Public Works,Parkside,242
36497,2022-05-11 12:45:00,Dept of Public Works,Elmwood Bryant,298
36678,2022-04-12 16:09:00,Dept of Law,UNKNOWN,327
36745,2022-03-29 12:18:00,Dept of Law,UNKNOWN,341
36756,2022-09-23 14:38:00,Dept of Public Works,Parkside,163
36807,2022-08-11 13:13:00,Dept of Public Works,Riverside,206
36850,2022-08-09 16:46:00,Dept of Law,UNKNOWN,208
36906,2022-10-20 14:22:00,Dept of Public Works,Kaisertown,136
36942,2022-04-27 13:27:00,Dept of Public Works,Schiller Park,312
36961,2022-04-26 14:22:00,Dept of Public Works,University Heights,313
36982,2022-05-15 19:57:00,Dept of Law,UNKNOWN,294
37203,2022-04-26 08:58:00,Dept of Public Works,Elmwood Bidwell,313
37305,2022-07-07 09:47:00,Dept of Public Works,Hopkins-Tifft,241
37315,2022-04-26 11:34:00,Dept of Public Works,Elmwood Bidwell,313
37338,2022-07-21 09:25:00,Dept of Public Works,West Side,227
37362,2022-03-30 09:15:00,Dept of Public Works,Hamlin Park,340
37366,2022-07-05 15:37:00,Dept of Public Works,Hamlin Park,243
37383,2022-07-07 09:02:00,Dept of Public Works,Allentown,241
37421,2022-09-27 10:16:00,Dept of Law,UNKNOWN,159
37429,2022-07-04 16:57:00,Dept of Public Works,Seneca-Cazenovia,244
37461,2022-03-30 17:19:00,Dept of Law,UNKNOWN,340
37467,2022-11-07 09:10:00,Dept of Public Works,Central,118
37568,2022-04-18 14:38:00,Dept of Public Works,West Side,321
37592,2022-05-15 17:07:00,Dept of Law,UNKNOWN,294
37643,2022-10-24 10:58:00,Dept of Public Works,Hamlin Park,132
37699,2022-07-05 12:32:00,Dept of Public Works,Masten Park,243
37720,2022-07-21 10:06:00,Dept of Public Works,MLK Park,227
37780,2022-07-18 11:41:00,Dept of Public Works,Kenfield,230
37815,2022-04-28 14:47:00,Dept of Public Works,Lower West Side,311
37847,2022-07-18 10:15:00,Dept of Public Works,Parkside,230
37889,2022-07-19 14:32:00,Dept of Public Works,Grant-Amherst,229
37955,2022-07-12 11:34:00,Dept of Public Works,MLK Park,236
37959,2022-05-10 14:55:00,Dept of Public Works,Masten Park,299
38038,2022-06-20 07:00:00,Dept of Parking,West Side,258
38041,2022-07-11 15:25:00,Dept of Public Works,Upper West Side,237
38135,2022-05-22 12:36:00,Dept of Law,UNKNOWN,287
38182,2022-10-21 09:59:00,DPIS,Schiller Park,135
38209,2022-04-26 15:28:00,Dept of Law,UNKNOWN,313
38216,2022-08-05 12:44:00,Dept of Public Works,Pratt-Willert,212
38245,2022-09-22 15:43:00,Dept of Public Works,Allentown,164
38284,2022-08-09 13:58:00,Dept of Public Works,Elmwood Bryant,208
38336,2022-11-15 16:49:00,Dept of Law,UNKNOWN,110
38345,2022-05-11 16:05:00,Dept of Law,UNKNOWN,298
38368,2022-03-14 11:35:00,Utilities,Fruit Belt,356
38383,2022-07-07 10:06:00,Office of the Mayor,University Heights,241
38397,2022-06-17 15:17:00,Dept of Public Works,Elmwood Bidwell,261
38404,2022-10-20 16:25:00,Dept of Public Works,Broadway Fillmore,136
38421,2022-07-18 11:42:00,Dept of Law,UNKNOWN,230
38500,2022-08-29 12:38:00,Dept of Public Works,Seneca-Cazenovia,188
38530,2022-04-05 11:33:00,Dept of Public Works,Elmwood Bidwell,334
38583,2022-07-25 16:39:00,Dept of Public Works,Hamlin Park,223
38592,2022-10-04 16:09:00,Dept of Public Works,Elmwood Bidwell,152
38652,2022-06-17 15:12:00,Dept of Public Works,Genesee-Moselle,261
38699,2022-08-27 18:15:00,DPIS,West Side,190
38742,2022-07-19 14:05:00,Dept of Public Works,West Side,229
38824,2022-10-17 15:37:00,DPIS,Genesee-Moselle,139
38827,2022-05-31 11:59:00,Dept of Public Works,Seneca Babcock,278
38879,2022-08-10 16:24:00,DPIS,Elmwood Bryant,207
38887,2022-08-02 09:47:00,Dept of Public Works,North Park,215
38896,2022-04-27 11:33:00,Dept of Public Works,Schiller Park,312
38996,2022-07-25 15:31:00,Dept of Law,UNKNOWN,223
39011,2022-07-15 15:30:00,DPIS,North Park,233
39039,2022-06-21 14:41:00,Dept of Public Works,West Side,257
39078,2022-11-20 02:03:00,Dept of Public Works,University Heights,105
39093,2022-08-29 16:57:00,Dept of Law,UNKNOWN,188
39108,2022-10-27 15:08:00,Dept of Public Works,Elmwood Bryant,129
39126,2022-08-17 11:07:00,Dept of Public Works,West Side,200
39155,2022-06-27 15:43:00,Dept of Public Works,Broadway Fillmore,251
39182,2022-11-30 08:49:00,Dept of Public Works,Masten Park,95
39250,2022-04-06 08:47:00,Dept of Public Works,Ellicott,333
39290,2022-08-29 09:16:00,Dept of Public Works,Kensington-Bailey,188
39415,2022-04-06 00:04:00,Dept of Public Works,Central,333
39426,2022-07-28 12:21:00,Dept of Public Works,Riverside,220
39450,2022-05-02 08:54:00,Dept of Public Works,Parkside,307
39508,2022-10-18 10:02:00,Dept of Law,UNKNOWN,138
39558,2022-10-21 09:43:00,Dept of Law,UNKNOWN,135
39607,2022-08-30 09:31:00,Dept of Public Works,Genesee-Moselle,187
39614,2022-08-23 14:44:00,Dept of Public Works,Fillmore-Leroy,194
39650,2022-05-18 09:55:00,Dept of Law,UNKNOWN,291
39727,2022-10-23 20:16:00,Dept of Public Works,South Park,133
39748,2022-07-23 15:22:00,Dept of Law,UNKNOWN,225
39830,2022-04-05 14:25:00,Dept of Public Works,Grant-Amherst,334
39835,2022-04-04 11:55:00,Dept of Public Works,Riverside,335
39929,2022-07-15 12:18:00,Dept of Public Works,Schiller Park,233
39956,2022-07-25 09:11:00,Office of Strategic Planning,Ellicott,223
39962,2022-10-18 12:44:00,Dept of Public Works,Masten Park,138
39983,2022-07-05 09:09:00,Dept of Public Works,Upper West Side,243
40051,2022-12-08 08:37:00,Dept of Public Works,Elmwood Bryant,87
40066,2022-03-30 14:00:00,Dept of Public Works,Riverside,340
40124,2022-06-17 15:13:00,Dept of Public Works,Genesee-Moselle,261
